Question,Answer
Q: What is a novel coronavirus?,"<div>
<p>A: A novel coronavirus is a new coronavirus that has not been previously identified. The virus causing coronavirus disease 2019 (COVID-19) is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold.</p>
<p>
</p></div>"
Q: What is coronavirus disease 2019 (COVID-19)?,"<div>
<p>A: Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. There are many types of human coronaviruses, including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. Current symptoms reported for patients with COVID-19 have included mild to severe respiratory illness with fever, cough, and difficulty breathing.</p>
<p>
</p></div>"
Q: How can I prevent COVID-19?,"<div>
<p>A: The best way to prevent illness is to avoid being exposed to the virus. CDC recommends everyday preventive actions to help prevent the spread of respiratory diseases.</p>
<p><a href=""https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/prevention.html"">Learn how to protect yourself and others</a> from coronavirus.</p>
<p>Learn more about <a href=""/consumers/consumer-updates/safely-using-hand-sanitizer"">using hand sanitizer safely</a>.</p>
<p>Learn <a href=""https://www.cdc.gov/handwashing/"">how to wash your hands</a> to prevent the spread of coronavirus and other illnesses.</p>
<p>
</p></div>"
Q: Should I wear a face covering or face mask when I go out in public?,"<div>
<p>A: CDC <a href=""https://www.cdc.gov/coronavirus/2019-ncov/prevent-getting-sick/cloth-face-cover.html"">recommends wearing cloth face coverings</a> in public when other social distancing measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in areas of significant community-based transmission of the coronavirus.  The purpose of wearing cloth face coverings in public is to slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others.<br/></p></div>"
Q: What treatments are available for COVID-19?,"<div>
<p>A: People with COVID-19 should receive supportive care to help relieve symptoms. People with mild symptoms are able to recover at home. If you experience a medical emergency such as trouble breathing, call 911 and let the operator know you may have COVID-19. For severe illness, treatment should include care to support vital organ functions. </p>
<p>Currently there are no FDA-approved drugs specifically for the treatment of COVID-19. Researchers are studying new drugs, and drugs that are already approved for other health conditions, as possible treatments for COVID-19. The FDA is working with drug manufacturers, researchers, and other partners to accelerate the development process for COVID-19 treatments. CDC has <a href=""https://www.cdc.gov/coronavirus/2019-ncov/hcp/therapeutic-options.html"">more information for health care providers</a> about these potential treatments. Never take a prescription medicine or drug if it is not prescribed for you by your doctor for your health condition.</p>
<p>
</p></div>"
Q: Can disinfectant sprays or wipes be used on my skin to prevent spread of COVID-19?,"<div>
<p>A: No. Always follow the instructions on household cleaners. Do not use disinfect sprays or wipes on your skin because it may cause skin and eye irritation. Disinfectant sprays or wipes are not intended for use on humans or animals. Disinfectant sprays or wipes are intended for use on hard, non-porous surfaces.</p>
<p>View the current <a href=""https://www.epa.gov/pesticide-registration/list-n-disinfectants-use-against-sars-cov-2"">list of products that meet EPA’s criteria for use against SARS-CoV-2</a>, the cause of COVID-19. </p>
<p>
</p></div>"
Q. Is hand sanitizer effective against COVID-19?,"<div>
<p>A. The best way to prevent the spread of infections and decrease the risk of getting sick is by washing your hands with plain soap and water, <a href=""https://www.cdc.gov/handwashing/"">advises the CDC</a>. Washing hands often with soap and water for at least 20 seconds is essential, especially after going to the bathroom; before eating; and after coughing, sneezing, or blowing one’s nose. If soap and water are not available, CDC recommends consumers use an alcohol-based hand sanitizer that contains at least 60% alcohol. </p>
<p>
</p></div>"
"Q. Where can I buy hand sanitizer? If I can’t find it in the store, can I make my own?","<div>
<p>A. Many retail stores and pharmacies sell hand sanitizers. However, we understand that many stores have run out of hand sanitizers and they may be difficult to find. To help increase the availability of hand sanitizers, the FDA has issued guidance for the temporary preparation of alcohol-based hand sanitizers by some companies and pharmacies during the public health emergency posed by COVID-19. </p>
<p>The FDA does not recommend that consumers make their own hand sanitizer. If made incorrectly, hand sanitizer can be ineffective, and there have been reports of skin burns from homemade hand sanitizer. The agency lacks verifiable information on the methods being used to prepare hand sanitizer at home and whether they are safe for use on human skin.</p>
<p>See the <a href=""/drugs/information-drug-class/qa-consumers-hand-sanitizers-and-covid-19"">Q&amp;A for Consumers: Hand Sanitizers and COVID-19</a> for more information.</p>
<p>
</p></div>"
Q. What do I do if I get a rash or other reaction to hand sanitizer?,"<div>
<p>A. Call your doctor if you experience a serious reaction to hand sanitizer. FDA encourages consumers and health care professionals to report adverse events experienced with the use of hand sanitizers to the FDA’s <a href=""/safety/medwatch-fda-safety-information-and-adverse-event-reporting-program"">MedWatch Adverse Event Reporting</a> program:</p>
<ul><li>Complete and submit the report <a href=""https://www.accessdata.fda.gov/scripts/medwatch/index.cfm"">online</a>; or</li>
<li>Download and complete the <a href=""/media/76299/download"">form</a>, then submit it via fax at 1-800-FDA-0178.</li>
<li>Include as much information as you can about the product that caused the reaction, including the product name, the manufacturer, and the lot number (if available).</li>
</ul><p>See <a href=""https://www.fda.gov/consumers/consumer-updates/safely-using-hand-sanitizer"">Safely Using Hand Sanitizer</a> for more information.</p>
<p>
</p></div>"
Q: Products online claim to prevent or treat COVID-19. Where can I report websites selling fraudulent medical products?,"<div>
<p>A: <a href=""/consumers/consumer-updates/beware-fraudulent-coronavirus-tests-vaccines-and-treatments"">There are currently no FDA-approved vaccines or drug products for COVID-19</a>. You can report websites selling fraudulent medical products to the FDA through our website, by phone, or mail. <a href=""/safety/report-problem-fda/reporting-unlawful-sales-medical-products-internet"">Learn more...</a></p>
<p>
</p></div>"
